"","Member.State","Total.population","Annual.Growth.Rate.....1992.2002","Dependency.ratio.1992","Dependency.ratio.2002","Percentage.of.population.aged.60...1992.","Percentage.of.population.aged.60.","Total.Fertility.Rate.1992","Total.Fertility.Rate.2002","LIFE.EXPECTANCY.AT.BIRTH.BOTH.SEXES.2002","LIFE.EXPECTANCY.AT.BIRTH.MALES.2002..years.","LIFE.EXPECTANCY.AT.BIRTH.MALES.2002..years..Lower.Bound.Uncertainty.Interval","LIFE.EXPECTANCY.AT.BIRTH.MALES.2002..years..Upper.Bound.Uncertainty.Interval","LIFE.EXPECTANCY.AT.BIRTH.FEMALES.2002..years.","LIFE.EXPECTANCY.AT.BIRTH.FEMALES.2002..years..Lower.Bound.Uncertainty.Interval","LIFE.EXPECTANCY.AT.BIRTH.FEMALES.2002..years..Upper.Bound.Uncertainty.Interval","PROBABILITY.OF.DYING.UNDER.AGE.OF.5.MALES.2002","PROBABILITY.OF.DYING.UNDER.AGE.OF.5.MALES.2002.Upper.Bound.Uncertainty.Interval..per.1000.","PROBABILITY.OF.DYING.UNDER.AGE.OF.5.MALES.2002.Lower.Bound.Uncertainty.Interval..per.1000.","PROBABILITY.OF.DYING.UNDER.AGE.OF.5.FEMALES.2002","PROBABILITY.OF.DYING.UNDER.AGE.OF.5.FEMALES.2002.Upper.Bound.Uncertainty.Interval..per.1000.","PROBABILITY.OF.DYING.UNDER.AGE.OF.5.FEMALES.2002.Lower.Bound.Uncertainty.Interval..per.1000.","PROBABILITY.OF.DYING.AGE.15.59.MALES.2002","PROBABILITY.OF.DYING.AGE.15.59.MALES.2002.Upper.Bound.Uncertainty.Interval..per.1000.","PROBABILITY.OF.DYING.AGE.15.59.MALES.2002.Lower.Bound.Uncertainty.Interval..per.1000.","PROBABILITY.OF.DYING.AGE.15.59.FEMALES.2002","PROBABILITY.OF.DYING.AGE.15.59.FEMALES.2002.Upper.Bound.Uncertainty.Interval..per.1000.","PROBABILITY.OF.DYING.AGE.15.59.FEMALES.2002.Lower.Bound.Uncertainty.Interval..per.1000.","classification"
"1","Brazil",176257.327,1.4,63,51,6.8,8.1,2.6,2.2,68.9,65.7,65.2,66.2,72.3,71.8,72.7,42,36,49,34,29,40,246,235,257,136,128,145,1
"2","Canada",31271.069,1,47,45,15.8,17.1,1.7,1.5,79.8,77.2,77,77.4,82.3,82.1,82.4,6,6,6,5,5,5,95,93,97,58,57,60,1
"3","China",1302307.069,0.9,49,44,8.6,10,2,1.8,71.1,69.6,69,70.3,72.7,72,73.5,31,29,33,41,38,44,165,154,175,104,93,112,0
"4","Colombia",43526.43,1.8,66,59,6.4,7.1,3,2.6,71.8,67.5,66.8,68.2,76.3,75.4,77.1,27,24,29,19,17,21,236,220,251,99,87,113,0
"5","Finland",5197.451,0.3,49,49,18.7,20.3,1.8,1.7,78.2,74.8,74.5,75,81.5,81.2,81.8,4,4,5,3,3,3,135,131,140,60,56,64,1
"6","France",59849.658,0.4,52,53,19.5,20.5,1.7,1.9,79.7,75.9,75.5,76.2,83.5,83.2,83.7,5,5,6,4,4,5,133,128,138,60,58,62,1
"7","Germany",82414.408,0.2,46,48,20.5,24,1.3,1.3,78.7,75.6,75.2,75.9,81.6,81.4,81.7,5,5,6,4,4,4,118,114,123,60,59,62,0
"8","India",1049549.474,1.8,68,62,6.9,7.7,3.8,3.1,61,60.1,59.4,60.8,62,61.1,62.8,87,81,92,95,86,106,291,268,314,220,197,243,1
"9","Indonesia",217131.218,1.4,64,54,6.4,7.9,3.1,2.4,66.4,64.9,64.1,65.8,67.9,67.1,68.8,45,40,50,36,33,40,244,226,261,208,194,224,0
"10","Republic of Ireland",3910.84,1,60,47,15.3,15.3,2,1.9,77.1,74.4,73.8,75,79.8,79.3,80.1,8,7,9,6,5,7,113,105,121,66,62,71,1
"11","Italy",57482.385,0.1,45,49,21.7,24.5,1.3,1.2,79.7,76.8,76.4,77.1,82.5,82.2,82.8,5,5,6,5,4,5,96,92,100,49,46,51,0
"12","Kuwait",2443.419,2.1,56,38,2.1,2.7,3.3,2.7,76.2,75.8,74.7,77.1,76.9,74.8,79,14,10,19,11,8,15,81,72,91,63,48,80,0
"13","Malaysia",23965.311,2.4,67,60,5.8,6.7,3.7,2.9,72,69.6,69.1,70.1,74.7,74.4,75.1,10,8,11,8,7,10,192,181,202,106,100,111,0
"14","Mongolia",2559.431,1.1,81,59,5.9,5.6,3.5,2.4,62.9,60.1,59.8,60.5,65.9,65.5,66.3,75,73,78,66,64,68,319,310,327,219,210,227,0
"15","New Zealand",3845.679,1.1,53,53,15.3,15.9,2.1,2,78.9,76.6,76.2,77.1,81.2,80.8,81.6,7,6,8,6,4,7,98,94,104,63,59,67,0
"16","Philippines",78580.225,2.1,77,67,5,5.7,4.2,3.2,68.3,65.1,64.3,65.8,71.7,70.9,72.5,39,33,45,33,28,38,258,238,279,133,118,151,0
"17","Republic of Korea",47430.218,0.8,43,39,8.2,11.8,1.7,1.4,75.5,71.8,71.3,72.3,79.4,79.2,79.6,8,7,9,7,7,8,166,156,176,61,59,63,0
"18","Romania",22387.39,-0.3,50,45,16.3,18.9,1.6,1.3,71.4,68,67.2,68.9,75,74.2,75.7,22,21,24,19,17,20,235,212,259,108,96,121,0
"19","Russian Federation",144081.588,-0.3,50,42,16.3,18.3,1.6,1.2,64.8,58.4,58.2,61.5,72.1,71.4,72.6,21,20,22,16,15,17,464,413,510,168,150,187,0
"20","Singapore",4183.273,2.8,38,40,8.7,11.1,1.8,1.4,79.6,77.4,76.4,78.4,81.7,81.3,82.1,4,4,4,3,3,3,90,80,101,53,49,56,0
"21","South Africa",44759.191,1.5,70,59,5.2,6.1,3.4,2.6,50.7,48.8,45.5,52,52.6,50,55,86,61,108,81,55,105,598,404,818,482,321,653,0
"22","Spain",40977.309,0.4,48,46,20,21.6,1.3,1.2,79.6,76.1,75.6,76.7,83,82.8,83.3,5,5,6,5,4,5,120,111,128,47,45,49,0
"23","Sweden",8867.321,0.2,56,55,22.4,22.9,2,1.6,80.4,78,77.7,78.3,82.6,82.4,82.9,4,4,5,3,3,3,83,80,85,53,51,55,0
"24","Switzerland",7171.404,0.3,46,49,19.4,22.1,1.5,1.4,80.6,77.7,77.2,78.2,83.3,83.1,83.6,6,5,7,5,4,6,92,87,98,51,49,53,0
"25","Thailand",62193.35,1.1,53,46,6.7,8.8,2.1,1.9,69.3,66,64.8,67.1,72.7,71.7,73.8,32,28,37,26,22,30,279,250,311,153,131,178,1
"26","United Kingdom",59067.963,0.3,54,53,21.1,20.8,1.8,1.6,78.2,75.8,75.3,76.3,80.5,79.9,81,7,6,8,6,5,6,107,101,113,67,61,72,0
"27","United States of America",291037.954,1.1,52,51,16.4,16.2,2,2.1,77.3,74.6,74.2,75.1,79.8,79.7,80,9,8,9,7,7,7,140,134,148,83,81,84,0
"28","Vietnam",80278.208,1.5,76,59,7.3,7.4,3.4,2.3,69.6,67.1,66.3,68.1,72.2,71.4,73.1,41,36,46,33,28,37,200,184,215,129,117,140,0
